"codigo";"numero";"fecha";"catastro";"ubicacion";"calle";"forma_de_ocupacion";"b1";"b2";"b3";"b4";"b5";"n_pisos";"sub";"estado_calzada";"estado_acera";"estado_bordillo";"estado_parterre";"estado_vispeatonal";"aapp";"aass";"aall";"energia";"alumbradoPub";"telefonoFijo";"internet";"tvCable";"transportePub";"recoleccionBas";"barridoCalles";"fotografia";"forma_de_ocupacion";"plantaBaja";"primerPiso";"segundoPiso";"tercerPso";"cuartoPiso";"quintoPiso";"sextoPiso";"septimoPiso";"estado_edificacion";"relevoNombres";"relevoFecha";"revisoNombres";"revisoFecha";"revisoFirma";"aproboNombres";"aproboFecha";"aproboFirma";"sello"
"1";;"2020-02-20";"1808020103013008_";"LAS ORQUIDEAS";"CALLE 2";"/pareada";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"1808020103013008_1582225237.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"2";;"2020-02-20";"1808020103013005_";"LAS ORQUÍDEAS";"CALLE 2";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103013005_1582225777.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"3";;"2020-02-20";"1808020203015013_";"29 DE JULIO";"S/D";"/pareada";"3";;;;;"3";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"NO";"1808020203015013_1582226384.";"vivienda";"VIVIENDA";"VIVIENDA";"TERRAZA";;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"4";;"2020-02-20";"1808020203025014_";"EL CHOFER";"CALLE SIN NOMBRE";"/continua";"2";;;;;"2";;"regular";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025014_1582226646.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"5";;"2020-02-20";"1808020203015028_";"29 DE JULIO";"S/D";"/continua";"3";;;;;"3";;"regular";"regular";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"NO";"SI";"SI";"NO";"SI";"NO";"1808020203015028_1582226676.";"vivienda";"VIVIENDA";"VIVIENDA";"TERRAZA";;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"6";;"2020-02-20";"1808020103008083_";"LAS ORQUíDEAS";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008083_1582226703.";"/deporte";"CANCHA DEPORTIVA DE FúTBOL";;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"7";;"2020-02-20";"1808020203015012_";"29 DE JULIO";"S/D";"/pareada";"1";;;;;"1";;"regular";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015012_1582226773.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"8";;"2020-02-20";"1808020203025015_";"EL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025015_1582226853.";"/financiero/LOTE VACíO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"9";;"2020-02-20";"1808020203015011_";"29 DE JULIO";"S/D";"/pareada";"1";;;;;"1";;"regular";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015011_1582226891.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"10";;"2020-02-20";"1808020103008068_";"LAS ORQUíDEAS";"CALLE 2";"/pareada";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"1808020103008068_1582226965.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
